,index,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,rank,snapshot_time
0,1.0,1.0,queue,wait_here_doctor_consult,0.0,,,,,1.0,0
1,1.0,1.0,queue,wait_here_doctor_consult,0.0,,,,,1.0,1
2,1.0,1.0,queue,wait_here_doctor_consult,0.0,,,,,1.0,2
3,1.0,1.0,queue,wait_here_doctor_consult,0.0,,,,,1.0,3
4,1.0,1.0,queue,wait_here_doctor_consult,0.0,,,,,1.0,4
5,1.0,1.0,queue,wait_here_doctor_consult,0.0,,,,,1.0,5
6,1.0,1.0,queue,wait_here_doctor_consult,0.0,,,,,1.0,6
7,1.0,1.0,queue,wait_here_doctor_consult,0.0,,,,,1.0,7
8,1.0,1.0,queue,wait_here_doctor_consult,0.0,,,,,1.0,8
9,1.0,1.0,queue,depart,0.0,,,,,1.0,9
10,,,,,,,,,,,9
11,,,,,,,,,,,10
12,,,,,,,,,,,11
13,4.0,2.0,queue,wait_here_doctor_consult,11.680948279122267,,,,,1.0,12
14,4.0,2.0,queue,wait_here_doctor_consult,11.680948279122267,,,,,1.0,13
15,6.0,3.0,queue,wait_here_doctor_consult,12.113135277614152,,,,,2.0,13
16,4.0,2.0,queue,wait_here_doctor_consult,11.680948279122267,,,,,1.0,14
17,6.0,3.0,queue,wait_here_doctor_consult,12.113135277614152,,,,,2.0,14
18,4.0,2.0,queue,wait_here_doctor_consult,11.680948279122267,,,,,1.0,15
19,6.0,3.0,queue,wait_here_doctor_consult,12.113135277614152,,,,,2.0,15
20,4.0,2.0,queue,wait_here_doctor_consult,11.680948279122267,,,,,1.0,16
21,6.0,3.0,queue,wait_here_doctor_consult,12.113135277614152,,,,,2.0,16
22,4.0,2.0,queue,wait_here_doctor_consult,11.680948279122267,,,,,1.0,17
23,6.0,3.0,queue,wait_here_doctor_consult,12.113135277614152,,,,,2.0,17
24,4.0,2.0,queue,wait_here_doctor_consult,11.680948279122267,,,,,1.0,18
25,6.0,3.0,queue,wait_here_doctor_consult,12.113135277614152,,,,,2.0,18
26,4.0,2.0,queue,depart,11.680948279122267,,,,,1.0,19
27,6.0,3.0,queue,wait_here_doctor_consult,12.113135277614152,,,,,1.0,19
28,6.0,3.0,queue,wait_here_doctor_consult,12.113135277614152,,,,,1.0,20
29,6.0,3.0,queue,depart,12.113135277614152,,,,,1.0,21
30,,,,,,,,,,,21
31,,,,,,,,,,,22
32,,,,,,,,,,,23
33,,,,,,,,,,,24
34,,,,,,,,,,,25
35,,,,,,,,,,,26
36,,,,,,,,,,,27
37,10.0,4.0,queue,wait_here_blood_test,27.73461506036164,,,,,1.0,28
38,10.0,4.0,queue,wait_here_blood_test,27.73461506036164,,,,,1.0,29
39,12.0,5.0,queue,wait_here_doctor_consult,28.08679659435068,,,,,1.0,29
40,10.0,4.0,queue,wait_here_blood_test,27.73461506036164,,,,,1.0,30
41,12.0,5.0,queue,wait_here_doctor_consult,28.08679659435068,,,,,1.0,30
42,10.0,4.0,queue,wait_here_blood_test,27.73461506036164,,,,,1.0,31
43,14.0,6.0,queue,wait_here_blood_test,30.021270717300236,,,,,2.0,31
44,12.0,5.0,queue,wait_here_doctor_consult,28.08679659435068,,,,,1.0,31
45,16.0,7.0,queue,wait_here_doctor_consult,30.479157054251193,,,,,2.0,31
46,10.0,4.0,queue,wait_here_blood_test,27.73461506036164,,,,,1.0,32
47,14.0,6.0,queue,wait_here_blood_test,30.021270717300236,,,,,2.0,32
48,12.0,5.0,queue,wait_here_doctor_consult,28.08679659435068,,,,,1.0,32
49,16.0,7.0,queue,wait_here_doctor_consult,30.479157054251193,,,,,2.0,32
50,10.0,4.0,queue,wait_here_blood_test,27.73461506036164,,,,,1.0,33
51,14.0,6.0,queue,wait_here_blood_test,30.021270717300236,,,,,2.0,33
52,18.0,8.0,queue,wait_here_blood_test,32.54408370294364,,,,,3.0,33
53,12.0,5.0,queue,wait_here_doctor_consult,28.08679659435068,,,,,1.0,33
54,16.0,7.0,queue,wait_here_doctor_consult,30.479157054251193,,,,,2.0,33
55,10.0,4.0,queue,wait_here_blood_test,27.73461506036164,,,,,1.0,34
56,14.0,6.0,queue,wait_here_blood_test,30.021270717300236,,,,,2.0,34
57,18.0,8.0,queue,wait_here_blood_test,32.54408370294364,,,,,3.0,34
58,12.0,5.0,queue,wait_here_doctor_consult,28.08679659435068,,,,,1.0,34
59,16.0,7.0,queue,wait_here_doctor_consult,30.479157054251193,,,,,2.0,34
60,10.0,4.0,queue,wait_here_blood_test,27.73461506036164,,,,,1.0,35
61,14.0,6.0,queue,wait_here_blood_test,30.021270717300236,,,,,2.0,35
62,18.0,8.0,queue,wait_here_blood_test,32.54408370294364,,,,,3.0,35
63,12.0,5.0,queue,wait_here_doctor_consult,28.08679659435068,,,,,1.0,35
64,16.0,7.0,queue,wait_here_doctor_consult,30.479157054251193,,,,,2.0,35
65,10.0,4.0,queue,wait_here_blood_test,27.73461506036164,,,,,1.0,36
66,14.0,6.0,queue,wait_here_blood_test,30.021270717300236,,,,,2.0,36
67,18.0,8.0,queue,wait_here_blood_test,32.54408370294364,,,,,3.0,36
